ID_REF	VALUE	ABS_CALL	Detection p-value	Normalized Value of Control	Shown on the paper
245016_at	1018.0	P	0.000244	3451.278	N
261585_at	37.0	A	0.398926	56.929	N
261568_at	44.1	A	0.46606400000000003	24.139	N
261584_at	124.3	A	0.111572	253.882	N
261579_at	3062.5	P	0.000732	2049.184	N
261569_at	110.7	A	0.111572	186.638	N
261576_at	296.4	P	0.014159999999999999	191.392	N
261577_at	1139.7	P	0.000244	2234.015	N
261583_at	5364.4	P	0.000244	5098.768	N
261578_at	9639.3	P	0.000244	7161.476	N
261580_at	20.5	A	0.633789	20.406	N
261570_at	597.6	P	0.000732	603.297	N
261575_at	24.8	A	0.567627	43.33	N
261581_at	1525.6	P	0.001221	1211.396	N
261571_at	57.9	P	0.030273	37.359	N
261582_at	444.2	P	0.00415	450.51	N
261572_at	4337.6	P	0.000244	3687.825	N
261573_at	94.3	A	0.246094	63.856	N
261574_at	140.2	A	0.219482	129.049	N
261042_at	48.3	A	0.601074	63.559	N
261043_at	714.0	P	0.000732	774.858	N
261025_at	139.8	A	0.129639	199.229	N
261057_at	1018.4	P	0.000244	1143.754	N
261026_at	967.4	P	0.023926	1110.894	N
261059_at	14.9	A	0.27416999999999997	122.775	N
261050_at	129.9	P	0.018555000000000002	245.578	N
261051_at	1.6	A	0.976074	7.254	N
261044_at	230.7	P	0.00415	169.77	N
261055_at	1711.7	P	0.000732	1152.856	N
261045_at	3.2	A	0.9438479999999999	4.892	N
261053_at	3584.4	P	0.000244	2955.506	N
261054_at	463.5	P	0.0058590000000000005	411.91	N
261027_at	154.7	P	0.023926	63.719	Y
261056_at	183.8	P	0.000244	351.578	N
261058_at	206.7	A	0.246094	111.02	N
257490_x_at	33.8	A	0.129639	42.151	N
261046_at	51.6	A	0.129639	82.499	N
261047_at	35.7	A	0.246094	38.926	N
261048_at	107.1	A	0.095215	117.227	N
261049_at	753.6	P	0.001221	1126.854	N
261052_at	136.0	P	0.030273	152.907	N
259435_at	48.4	A	0.19458	61.301	N
259425_at	8.5	A	0.850342	5.683	N
259426_at	3349.5	P	0.000244	6152.958	N
259439_at	8.4	A	0.72583	9.367	N
259434_at	1433.2	P	0.000732	2140.8	N
259436_at	911.5	P	0.00293	638.368	N
259438_at	314.5	P	0.000732	526.307	N
259432_at	5.0	A	0.72583	33.883	N
259427_at	22.2	A	0.43237299999999995	30.655	N
259437_at	704.1	P	0.000244	926.701	N
259440_at	5138.5	P	0.000732	3557.018	N
259428_at	408.4	P	0.008057	223.972	Y
259433_at	72.9	A	0.14965799999999999	78.606	N
259429_at	111.6	A	0.129639	134.765	N
259430_at	744.8	P	0.000244	582.126	N
259431_at	2317.1	P	0.000244	6223.009	N
261563_at	1601.2	P	0.008057	1328.081	N
261586_at	19.0	A	0.533936	78.161	N
257484_at	594.5	P	0.001953	932.922	N
261587_at	71.3	A	0.366211	79.612	N
261588_at	45.6	A	0.219482	101.464	N
261589_at	61.7	A	0.334473	82.511	N
261590_at	3.0	A	0.9624020000000001	29.699	N
261560_at	302.0	P	0.000244	489.389	N
261564_at	148.3	P	0.010742	169.702	N
261535_at	179.5	P	0.014159999999999999	248.995	N
261561_at	628.1	P	0.000244	426.495	N
261591_at	316.6	P	0.0058590000000000005	283.274	N
261562_at	5.4	A	0.696289	13.178	N
261592_at	9.9	A	0.932373	10.125	N
261558_at	127.3	P	0.000732	323.671	N
261559_at	132.3	P	0.008057	194.3	N
261536_at	1747.0	P	0.000244	2387.099	N
261537_at	1386.1	P	0.000244	1264.12	N
261534_at	1552.8	P	0.000244	1081.377	N
261538_at	143.2	P	0.000244	151.894	N
261539_at	62.2	A	0.43237299999999995	95.465	N
261652_at	443.8	P	0.008057	487.999	N
261653_at	189.3	P	0.008057	209.895	N
261627_at	851.2	P	0.000244	1125.958	N
261654_at	149.0	P	0.046143	121.443	N
261625_at	204.0	P	0.046143	262.217	N
261655_at	616.0	P	0.00415	407.58	N
261656_at	231.8	P	0.008057	217.722	N
261621_at	1053.8	P	0.000244	994.711	N
261622_at	553.6	P	0.000244	923.501	N
261623_at	10.2	A	0.850342	7.579	N
261626_at	395.7	P	0.037598	309.465	N
261624_at	134.7	M	0.056152	194.562	N
264169_at	362.5	P	0.008057	266.61	N
264175_at	28.7	A	0.398926	43.957	N
264167_at	90.3	A	0.06762699999999999	57.142	N
264151_at	104.6	A	0.111572	50.38	N
264168_at	697.3	P	0.000244	1240.655	N
264150_at	334.8	P	0.023926	346.718	N
264171_at	435.0	P	0.008057	360.245	N
264176_at	105.7	P	0.010742	200.002	N
264172_at	789.1	P	0.000244	864.631	N
264122_at	407.0	P	0.000244	701.294	N
264152_at	2176.4	P	0.000244	2808.582	N
264177_at	4467.1	P	0.000244	3326.229	N
264173_at	1265.1	P	0.000244	1052.143	N
264178_at	767.5	P	0.000244	706.033	N
264179_at	361.2	P	0.010742	340.539	N
264180_at	37.5	A	0.46606400000000003	32.208	N
264147_at	248.0	P	0.037598	406.669	N
264146_at	585.7	P	0.000244	737.919	N
264148_at	135.1	A	0.06762699999999999	41.189	Y
264174_s_at	65.6	A	0.398926	53.496	N
264149_at	54.3	A	0.366211	58.034	N
264170_at	658.6	P	0.000244	437.554	N
264123_at	791.5	P	0.000244	1052.761	N
264121_at	2165.8	P	0.000244	2382.348	N
259441_at	500.2	P	0.000244	548.177	N
259416_at	1828.6	P	0.000244	1898.847	N
259442_at	63.9	A	0.17138699999999998	77.394	N
259413_at	2.6	A	0.969727	17.677	N
259415_at	306.9	P	0.000244	477.596	N
259417_at	42.1	A	0.334473	42.107	N
259443_at	165.4	P	0.046143	19.689	N
259444_at	137.6	A	0.14965799999999999	152.288	N
259418_at	183.1	P	0.001953	122.62	N
259445_at	69.8	A	0.17138699999999998	101.869	N
259446_at	1023.6	P	0.000244	739.738	N
259414_at	84.6	A	0.14965799999999999	72.982	N
259447_s_at	99.9	A	0.14965799999999999	44.055	N
260904_at	368.9	P	0.000244	78.368	Y
260903_at	125.6	A	0.111572	92.781	N
260933_at	70.6	A	0.334473	80.31	N
260916_at	2271.5	P	0.000244	2084.61	N
260911_at	2.9	A	0.9980469999999999	8.628	N
260913_at	6007.7	P	0.000244	4935.141	N
260932_s_at	14.3	A	0.533936	31.603	N
260906_at	7.4	A	0.9438479999999999	10.072	N
260931_at	108.7	A	0.5	14.175	N
260912_at	5593.3	P	0.000244	5030.41	N
260907_at	36.7	A	0.334473	44.588	N
260908_at	22.5	A	0.633789	16.099	N
260930_at	122.3	A	0.366211	135.28	N
260914_at	146.7	P	0.030273	359.386	N
260915_at	168.4	P	0.00293	222.632	N
260909_at	36.6	A	0.43237299999999995	28.471	N
260929_at	165.6	P	0.00415	271.034	N
260910_at	281.7	P	0.00415	208.961	N
260917_at	19.3	A	0.43237299999999995	33.632	N
260905_at	31.1	A	0.46606400000000003	17.53	N
260928_at	239.1	A	0.246094	220.814	N
262109_at	959.4	P	0.000244	820.985	N
262108_at	146.7	A	0.129639	158.419	N
262107_at	269.8	P	0.00415	277.031	N
262117_at	14354.4	P	0.000244	10665.453	N
262122_at	24.1	A	0.46606400000000003	22.519	N
262121_at	98.5	A	0.27416999999999997	83.22	N
262105_at	40.2	A	0.334473	48.954	N
262115_at	57.4	A	0.19458	63.503	N
262116_at	340.6	P	0.0058590000000000005	501.534	N
262113_at	236.6	P	0.014159999999999999	515.381	N
262132_at	64.0	A	0.111572	52.387	N
262110_at	1015.1	P	0.000244	1037.135	N
262118_at	414.9	P	0.001953	214.681	N
262114_at	199.4	P	0.046143	342.744	N
262112_at	677.2	P	0.00415	736.542	N
262130_at	356.6	P	0.000732	476.668	N
262131_at	12.7	A	0.601074	79.475	N
262104_at	634.4	P	0.00415	847.78	N
262119_s_at	11957.1	P	0.000244	2736.167	Y
262103_at	32.8	A	0.080566	23.004	N
262120_at	97.5	P	0.001221	106.623	N
262111_at	302.4	P	0.0058590000000000005	349.64	N
262106_at	214.3	P	0.001221	157.838	N
262102_at	13.1	A	0.6655270000000001	42.064	N
263170_at	683.4	P	0.00293	693.885	N
263169_at	7.5	A	0.870361	63.512	N
263168_at	86.6	P	0.030273	98.924	N
263167_at	131.6	P	0.018555000000000002	222.381	N
263117_at	324.0	P	0.000732	445.515	N
263166_at	3.9	A	0.8286129999999999	6.187	N
263115_at	256.1	A	0.246094	148.327	N
263165_at	496.9	P	0.00415	381.413	N
263164_at	303.5	P	0.0058590000000000005	305.137	N
263112_at	83.9	P	0.030273	151.107	N
263118_at	252.8	P	0.018555000000000002	414.569	N
263143_at	82.9	P	0.0058590000000000005	86.904	N
263119_at	309.8	P	0.008057	329.073	N
263114_at	12120.6	P	0.000244	13654.545	N
263116_s_at	1294.7	P	0.000244	1161.813	N
263113_at	337.5	P	0.000244	412.417	N
263163_at	439.8	P	0.000244	681.177	N
264363_at	8.0	A	0.969727	20.504	N
264358_at	51.9	A	0.219482	88.802	N
264356_at	114.4	P	0.00293	149.792	N
264355_at	923.8	P	0.001953	720.821	N
264365_s_at	774.5	P	0.000244	1485.946	N
264354_s_at	37.7	A	0.06762699999999999	90.768	N
264366_at	411.8	P	0.000244	423.257	N
264353_at	278.7	P	0.014159999999999999	154.732	N
264352_at	142.0	M	0.056152	88.924	N
264368_at	346.3	P	0.00415	385.817	N
264362_at	351.0	P	0.001953	270.135	Y
264361_at	75.9	P	0.030273	103.54	N
264360_at	1596.0	P	0.000244	1429.916	N
264359_at	11.8	A	0.696289	49.983	N
264364_at	1134.8	P	0.000244	1188.6	N
264367_at	640.3	P	0.000244	458.08	N
264357_at	319.4	P	0.00415	256.268	N
264351_at	356.4	P	0.000244	399.268	N
264828_at	426.5	P	0.001953	685.132	N
264827_at	3.0	A	0.9624020000000001	21.741	N
264843_at	1497.2	P	0.000244	996.225	N
264826_at	34.1	A	0.219482	114.971	N
264824_at	567.4	P	0.000244	939.105	N
264838_at	511.5	P	0.000244	533.233	N
264840_at	385.6	P	0.00293	384.727	N
264823_at	37.2	A	0.696289	97.734	N
264822_at	94.7	M	0.056152	86.878	N
264821_at	75.5	A	0.219482	66.095	N
264820_at	2081.5	P	0.000244	2101.183	N
264829_at	3.5	A	0.8286129999999999	23.965	N
265091_s_at	88.4	A	0.246094	55.476	N
264819_at	67.5	P	0.023926	58.807	N
264844_at	216.3	P	0.001953	288.212	N
264818_at	276.2	P	0.001953	269.126	N
264817_at	9.2	A	0.8286129999999999	56.856	N
264835_at	265.6	P	0.001221	171.909	N
264816_at	104.0	A	0.06762699999999999	90.624	N
264833_at	267.6	P	0.037598	305.813	N
264837_at	10273.6	P	0.000244	10406.548	N
264836_at	562.9	P	0.000244	778.672	N
264815_at	139.3	A	0.129639	115.52	N
264839_at	7979.1	P	0.000244	5177.685	N
264832_at	206.6	A	0.111572	81.8	Y
264845_at	11321.2	P	0.000244	9192.228	N
264831_at	158.1	A	0.095215	159.695	N
264842_at	6.0	A	0.780518	19.18	N
264830_at	7.3	A	0.8286129999999999	20.327	N
264825_at	8.5	A	0.932373	7.318	N
264834_at	677.8	P	0.000732	753.139	N
264841_at	255.5	P	0.00415	348.917	N
265088_at	63.2	A	0.091553	89.408	N
265087_at	92.2	P	0.018555000000000002	121.808	N
265086_at	4.9	A	0.80542	22.792	N
265085_at	145.0	A	0.14965799999999999	100.326	N
265084_at	15.6	A	0.696289	23.853	N
265083_at	532.7	P	0.001221	402.784	N
265082_at	43.7	A	0.567627	67.966	N
265081_at	15.4	A	0.72583	11.38	N
265067_at	414.9	P	0.000732	195.914	Y
265037_at	2049.2	P	0.000244	1606.475	N
265066_at	1079.2	P	0.001953	1457.956	N
265095_at	62.3	A	0.080566	10.328	N
265094_at	40.8	A	0.43237299999999995	13.372	N
265043_at	957.0	P	0.000244	1503.937	N
265093_at	20.7	A	0.72583	60.39	N
265092_at	922.8	P	0.001221	1015.079	N
265038_at	53.9	P	0.008057	72.26	N
265045_s_at	539.7	P	0.001953	401.678	N
265044_at	322.2	P	0.010742	277.886	N
265090_at	140.1	P	0.00293	118.577	N
265040_at	194.9	P	0.023926	306.166	N
265065_at	107.5	P	0.046143	74.772	N
265099_at	66.9	A	0.27416999999999997	55.679	N
265039_at	308.3	P	0.030273	156.078	N
265098_at	171.8	A	0.06762699999999999	162.204	N
265097_at	312.7	P	0.014159999999999999	252.105	N
265096_at	36.9	A	0.219482	69.039	N
265042_at	1682.6	P	0.000732	1758.936	N
257404_at	73.8	A	0.095215	58.973	N
265089_at	16.2	A	0.6655270000000001	15.943	N
265041_at	142.0	P	0.010742	75.66	N
265036_at	1141.5	P	0.000244	1061.163	N
264320_at	69.3	A	0.567627	63.478	N
264328_at	158.4	A	0.19458	213.278	N
264319_at	352.7	P	0.000244	271.91	N
264330_at	363.2	P	0.000244	291.52	N
264331_at	116.4	A	0.080566	127.649	N
264329_at	1901.6	P	0.00293	1500.516	N
264325_at	122.2	P	0.00293	80.07	N
264324_at	69.3	M	0.056152	121.298	N
264327_at	1826.8	P	0.000244	2751.631	N
264323_at	4.7	A	0.953857	8.677	N
264322_at	781.9	P	0.000244	680.201	N
264321_at	231.9	P	0.037598	248.114	N
264318_at	29.9	A	0.46606400000000003	53.727	N
264326_at	397.9	P	0.000732	280.258	N
263656_at	94.6	P	0.014159999999999999	400.55	Y
263664_at	557.0	P	0.000244	1034.648	Y
263660_at	606.5	P	0.000244	557.774	N
263667_at	16074.2	P	0.000244	11012.919	N
263661_at	435.4	P	0.000732	351.213	N
263654_at	448.2	P	0.000244	646.041	N
263653_at	104.4	A	0.219482	102.851	N
263652_at	5.8	A	0.780518	7.135	N
263651_at	684.6	P	0.000244	537.116	N
263668_at	882.5	P	0.000732	1131.385	N
263650_at	90.9	A	0.366211	80.257	N
263649_at	45.8	A	0.366211	66.351	N
263648_at	18.3	A	0.7539060000000001	64.886	N
263669_at	2192.0	P	0.000244	3558.144	N
263663_at	18392.0	P	0.000244	12959.592	N
263678_at	885.9	P	0.010742	1453.521	N
263662_at	1986.0	P	0.000732	2061.6	N
263657_at	454.5	P	0.010742	528.665	N
263659_at	8.7	A	0.850342	7.842	N
263665_at	6935.2	P	0.000244	4825.48	N
263658_at	12.2	A	0.6655270000000001	29.853	N
263655_at	36.7	A	0.398926	39.286	N
263666_at	878.5	P	0.000732	960.678	N
263677_at	242.9	P	0.014159999999999999	278.323	N
264609_at	1107.7	P	0.000244	1664.618	N
264601_at	28.8	A	0.533936	68.153	N
264605_at	326.8	P	0.001221	246.861	N
264612_at	130.9	A	0.080566	83.665	N
264614_s_at	5.9	A	0.780518	10.014	N
264615_at	359.1	P	0.008057	369.25	N
264599_at	103.3	P	0.018555000000000002	68.487	N
264598_at	203.4	P	0.037598	100.042	N
264597_at	424.3	P	0.001221	431.942	N
264596_at	14.2	A	0.6655270000000001	26.929	N
264613_at	1352.2	P	0.000244	1223.239	N
264610_at	8.3	A	0.953857	30.546	N
264604_at	59.0	A	0.334473	91.054	N
264606_at	21.9	A	0.43237299999999995	66.147	N
264603_at	50.4	A	0.334473	14.497	N
264611_at	2379.7	P	0.000244	2397.469	N
264607_at	2941.2	P	0.000244	3110.605	N
264602_at	41.4	A	0.080566	74.524	N
264608_at	268.1	A	0.080566	334.161	N
264600_at	177.8	P	0.001953	192.4	N
264595_at	2084.7	P	0.000244	2109.765	N
261178_at	163.0	P	0.010742	185.177	N
261177_at	407.8	P	0.000244	803.554	N
261176_at	586.7	P	0.001221	637.993	N
261127_at	237.6	P	0.000732	325.278	N
261175_at	684.3	P	0.000244	1045.955	N
261174_at	1046.8	P	0.000244	958.096	N
261129_at	4038.7	P	0.000244	3456.262	N
261173_at	329.6	P	0.018555000000000002	468.298	N
261172_at	22.8	A	0.567627	49.9	N
261153_at	900.4	P	0.000244	751.446	N
261128_at	547.5	P	0.014159999999999999	562.738	N
261130_at	597.6	P	0.000244	698.519	N
261171_at	34.9	A	0.27416999999999997	59.67	N
261124_at	269.1	P	0.014159999999999999	178.384	N
261170_at	407.1	P	0.008057	707.269	N
261169_at	49.4	A	0.27416999999999997	101.125	N
261152_at	141.5	A	0.246094	141.102	N
261168_at	72.5	A	0.219482	130.445	N
261126_at	267.3	P	0.000732	398.502	N
261155_at	346.4	P	0.023926	436.496	N
261154_at	1054.2	P	0.000244	931.231	N
261167_at	404.4	P	0.000732	216.851	Y
261179_at	422.5	P	0.000732	466.952	N
261125_at	618.0	P	0.000244	365.37	N
265214_at	95.9	A	0.095215	95.377	N
265194_at	2991.9	P	0.000244	3131.857	N
265213_at	129.6	P	0.030273	119.081	N
265212_at	742.4	P	0.001221	658.595	N
265215_at	47.7	A	0.43237299999999995	24.887	N
265218_at	439.2	P	0.000732	387.317	N
265192_at	262.2	P	0.018555000000000002	467.049	N
265193_at	337.4	P	0.00293	635.155	N
265217_s_at	188.1	P	0.030273	294.806	N
265216_at	8.6	A	0.870361	11.15	N
265191_at	264.9	P	0.010742	263.578	N
264569_at	73.2	P	0.030273	77.2	N
264584_at	1862.0	P	0.000244	1659.682	N
264568_at	339.6	P	0.008057	449.238	N
264586_at	386.2	P	0.00415	262.649	N
264583_at	239.3	P	0.037598	241.827	N
264585_at	1002.2	P	0.000244	679.651	N
264575_at	9100.1	P	0.000244	7788.117	N
264587_at	494.7	P	0.000244	580.872	N
264579_at	288.7	P	0.018555000000000002	425.503	N
264581_at	350.2	A	0.111572	376.075	N
264582_at	318.1	P	0.00293	376.737	N
264567_s_at	120.0	A	0.095215	86.234	N
264577_at	14.2	A	0.72583	54.5	N
264566_at	341.7	P	0.014159999999999999	245.333	N
264565_at	53.6	A	0.334473	39.541	N
264564_at	7.3	A	0.567627	15.497	N
264574_at	206.9	P	0.037598	118.594	N
264573_at	88.5	P	0.010742	105.861	N
264572_at	259.5	P	0.010742	425.193	N
264571_at	54.9	A	0.27416999999999997	31	N
264580_at	89.5	A	0.14965799999999999	68.044	Y
264570_at	413.3	P	0.001953	337.949	N
264576_at	289.4	P	0.014159999999999999	394.799	N
264578_at	16.7	A	0.6655270000000001	21.714	N
261383_at	775.3	P	0.000244	544.593	N
261388_at	839.7	P	0.001953	1275.123	N
261380_at	32.5	A	0.533936	31.356	N
261387_at	83.4	P	0.0058590000000000005	138.858	N
261386_at	598.0	P	0.000732	722.443	N
261384_at	54.5	A	0.219482	90.603	N
261385_at	63.3	A	0.14965799999999999	49.485	N
261381_at	66.6	P	0.030273	105.466	N
