ID_REF	VALUE	ABS_CALL	Detection p-value	
245016_at	2941.1	P	0.000244	
261585_at	106.1	A	0.129639	
261568_at	46.5	A	0.398926	
261584_at	322	P	0.018555	
261579_at	2371.5	P	0.001221	
261569_at	90.6	P	0.037598	
261576_at	129.9	P	0.037598	
261577_at	2265.6	P	0.000244	
261583_at	4025.4	P	0.000244	
261578_at	7482.2	P	0.000244	
261580_at	5.8	A	0.696289	
261570_at	545.5	P	0.000732	
261575_at	39.8	A	0.334473	
261581_at	1520.3	P	0.000732	
261571_at	40.8	M	0.056152	
261582_at	496.6	P	0.000732	
261572_at	3213.3	P	0.000244	
261573_at	60.6	P	0.030273	
261574_at	136.9	A	0.219482	
261042_at	28.2	A	0.567627	
261043_at	742.2	P	0.000244	
261025_at	230.9	P	0.046143	
261057_at	958.1	P	0.000244	
261026_at	648	P	0.010742	
261059_at	38.5	A	0.567627	
261050_at	191.6	P	0.00415	
261051_at	3.8	A	0.888428	
261044_at	201.7	P	0.001221	
261055_at	1217.6	P	0.000732	
261045_at	3.4	A	0.994141	
261053_at	3346.1	P	0.000244	
261054_at	366.6	P	0.001953	
261027_at	197.4	P	0.023926	
261056_at	234	P	0.000244	
261058_at	109	A	0.432373	
257490_x_at	6.6	A	0.246094	
261046_at	66	A	0.111572	
261047_at	8.8	A	0.601074	
261048_at	113.2	P	0.005859	
261049_at	792.6	P	0.001221	
261052_at	175.2	P	0.018555	
259435_at	97	A	0.149658	
259425_at	5.2	A	0.850342	
259426_at	5315.8	P	0.000244	
259439_at	4.6	A	0.665527	
259434_at	1520.8	P	0.000732	
259436_at	675.6	P	0.000244	
259438_at	448.7	P	0.000732	
259432_at	11.5	A	0.696289	
259427_at	32.7	A	0.303711	
259437_at	770	P	0.000244	
259440_at	3572.9	P	0.000244	
259428_at	490.7	P	0.00293	
259433_at	78.7	A	0.246094	
259429_at	149.3	P	0.046143	
259430_at	579.1	P	0.000244	
259431_at	4167.8	P	0.000244	
261563_at	1418.4	P	0.001221	
261586_at	78.4	A	0.19458	
257484_at	900.6	P	0.001221	
261587_at	75.6	A	0.398926	
261588_at	125.4	P	0.018555	
261589_at	84.7	A	0.149658	
261590_at	31.2	A	0.567627	
261560_at	415.1	P	0.000244	
261564_at	148.1	P	0.010742	
261535_at	217.1	P	0.00415	
261561_at	517.1	P	0.000244	
261591_at	261.5	P	0.001221	
261562_at	18.8	A	0.5	
261592_at	7.7	A	0.904785	
261558_at	296.4	P	0.000244	
261559_at	170.3	P	0.01416	
261536_at	1758.4	P	0.000244	
261537_at	1423	P	0.000244	
261534_at	1202.1	P	0.000244	
261538_at	143.4	P	0.000244	
261539_at	69.1	A	0.129639	
261652_at	321.6	P	0.008057	
261653_at	204.3	P	0.010742	
261627_at	1062.3	P	0.000244	
261654_at	116	P	0.01416	
261625_at	311.5	P	0.001953	
261655_at	301	P	0.001953	
261656_at	191.2	P	0.00293	
261621_at	1032.4	P	0.000244	
261622_at	878.4	P	0.000244	
261623_at	2.6	A	0.962402	
261626_at	273.8	P	0.018555	
261624_at	101.1	A	0.067627	
264169_at	274.8	P	0.008057	
264175_at	8.1	A	0.665527	
264167_at	36.6	A	0.303711	
264151_at	49.6	A	0.303711	
264168_at	1316.6	P	0.000244	
264150_at	404.1	P	0.00293	
264171_at	403.9	P	0.001953	
264176_at	193.7	P	0.005859	
264172_at	963.3	P	0.000244	
264122_at	573.6	P	0.000244	
264152_at	2691.4	P	0.000244	
264177_at	2904	P	0.000244	
264173_at	950.1	P	0.000244	
264178_at	902.1	P	0.000244	
264179_at	284.1	P	0.005859	
264180_at	2	A	0.466064	
264147_at	259.6	A	0.080566	
264146_at	536.8	P	0.000244	
264148_at	69.8	P	0.037598	
264174_s_at	55.9	A	0.219482	
264149_at	85.6	P	0.037598	
264170_at	481	P	0.000244	
264123_at	1152.3	P	0.000244	
264121_at	2254.5	P	0.000244	
259441_at	487.4	P	0.000244	
259416_at	1932.9	P	0.000244	
259442_at	75	A	0.149658	
259413_at	1.9	A	0.943848	
259415_at	467.1	P	0.000244	
259417_at	15.7	A	0.665527	
259443_at	133.6	A	0.171387	
259444_at	110	A	0.067627	
259418_at	174.4	P	0.001953	
259445_at	89.7	A	0.129639	
259446_at	796.7	P	0.000244	
259414_at	46.5	A	0.149658	
259447_s_at	74.3	A	0.149658	
260904_at	525.2	P	0.000244	
260903_at	130.3	P	0.037598	
260933_at	165.1	A	0.303711	
260916_at	2325.3	P	0.000244	
260911_at	5.6	A	0.953857	
260913_at	5447	P	0.000244	
260932_s_at	16.2	A	0.5	
260906_at	5	A	0.72583	
260931_at	16.3	A	0.533936	
260912_at	5457.1	P	0.000244	
260907_at	26.8	A	0.19458	
260908_at	18.4	A	0.567627	
260930_at	118.5	A	0.219482	
260914_at	183.2	A	0.111572	
260915_at	175.5	P	0.000732	
260909_at	5.3	A	0.888428	
260929_at	299.2	P	0.00293	
260910_at	294.2	P	0.001221	
260917_at	31.8	A	0.5	
260905_at	24.8	A	0.466064	
260928_at	307.5	A	0.111572	
262109_at	936.1	P	0.000244	
262108_at	146.9	A	0.129639	
262107_at	336.8	P	0.00293	
262117_at	11720	P	0.000244	
262122_at	67.2	A	0.334473	
262121_at	100.1	A	0.334473	
262105_at	52.1	A	0.27417	
262115_at	47.3	A	0.080566	
262116_at	384.6	P	0.010742	
262113_at	285.9	P	0.00415	
262132_at	58.8	A	0.129639	
262110_at	948.8	P	0.000244	
262118_at	272.8	P	0.000244	
262114_at	176	A	0.080566	
262112_at	693	P	0.001953	
262130_at	368.5	P	0.000732	
262131_at	54.9	A	0.366211	
262104_at	842.8	P	0.001953	
262119_s_at	11793.9	P	0.000244	
262103_at	70.3	M	0.056152	
262120_at	120.8	P	0.008057	
262111_at	285.8	P	0.000732	
262106_at	150.6	P	0.000244	
262102_at	48.9	A	0.432373	
263170_at	595.9	P	0.000732	
263169_at	8.7	A	0.888428	
263168_at	69.8	P	0.037598	
263167_at	303.7	P	0.000732	
263117_at	504.3	P	0.000732	
263166_at	2.6	A	0.969727	
263115_at	119	A	0.171387	
263165_at	380.4	P	0.00293	
263164_at	259.4	P	0.008057	
263112_at	211.9	P	0.000732	
263118_at	215.7	P	0.010742	
263143_at	76.7	P	0.001953	
263119_at	342.3	P	0.001221	
263114_at	10432.4	P	0.000244	
263116_s_at	1011.2	P	0.000244	
263113_at	434.4	P	0.000244	
263163_at	573.7	P	0.000244	
264363_at	15.3	A	0.601074	
264358_at	93.7	A	0.149658	
264356_at	176.3	P	0.000244	
264355_at	1098.4	P	0.001953	
264365_s_at	1924.4	P	0.000244	
264354_s_at	92.3	P	0.008057	
264366_at	389.4	P	0.000244	
264353_at	149.4	P	0.01416	
264352_at	89.1	P	0.010742	
264368_at	315	P	0.001953	
264362_at	435	P	0.000244	
264361_at	70.2	P	0.00415	
264360_at	1298.6	P	0.000244	
264359_at	7.2	A	0.633789	
264364_at	1265.7	P	0.000244	
