ID_REF	VALUE	ABS_CALL	Detection p-value
245016_at	2235.2	P	0.000244
261585_at	55.4	A	0.398926
261568_at	7	A	0.466064
261584_at	276	M	0.056152
261579_at	2136.5	P	0.001221
261569_at	78.9	A	0.129639
261576_at	282.9	P	0.046143
261577_at	2585.2	P	0.000244
261583_at	4938.6	P	0.000244
261578_at	6626.7	P	0.000244
261580_at	6.2	A	0.828613
261570_at	617	P	0.00415
261575_at	68.2	A	0.334473
261581_at	1042.8	P	0.000732
261571_at	45.5	P	0.046143
261582_at	472.4	P	0.001953
261572_at	3647.8	P	0.000244
261573_at	138.1	P	0.046143
261574_at	61.7	A	0.398926
261042_at	32.9	A	0.533936
261043_at	719.3	P	0.000244
261025_at	232.2	A	0.067627
261057_at	1090.5	P	0.000244
261026_at	806.3	P	0.010742
261059_at	16.9	A	0.533936
261050_at	209.4	P	0.005859
261051_at	5.9	A	0.888428
261044_at	164.4	P	0.010742
261055_at	1202.6	P	0.000732
261045_at	4.2	A	0.981445
261053_at	3309.8	P	0.000244
261054_at	504.9	P	0.001221
261027_at	106.1	A	0.129639
261056_at	297.8	P	0.000244
261058_at	139.2	A	0.303711
257490_x_at	1.2	A	0.72583
261046_at	83.3	A	0.149658
261047_at	33.4	A	0.171387
261048_at	174.8	P	0.018555
261049_at	1041.5	P	0.001221
261052_at	206.1	P	0.018555
259435_at	73.6	A	0.219482
259425_at	9.7	A	0.80542
259426_at	5044.9	P	0.000244
259439_at	17.5	A	0.5
259434_at	2150.1	P	0.000732
259436_at	716	P	0.000244
259438_at	420.7	P	0.001221
259432_at	3	A	0.780518
259427_at	51.8	P	0.037598
259437_at	677.4	P	0.000244
259440_at	3203.3	P	0.000732
259428_at	312.6	P	0.005859
259433_at	93.2	P	0.046143
259429_at	109.2	A	0.171387
259430_at	710.4	P	0.000244
259431_at	6241.2	P	0.000244
261563_at	1411.8	P	0.001221
261586_at	47	A	0.432373
257484_at	807	P	0.001221
261587_at	74.5	A	0.466064
